USNM	Tissue	Biorepository	Population	Sample	Sex	Age	Color
657157	B04762	AC8CP65	EU	EU_4762	M	A	Y
657158	B04763	AC8CP66	EU	EU_4763	M	A	Y
657159	B04764	AC8CP67	EU	EU_4764	M	A	Y
657160	B04765	AC8CP68	EU	EU_4765	M	A	Y
657161	B04766	AC8CP69	EU	EU_4766	M	A	Y
657162	B04767	AC8CP70	EU	EU_4767	M	A	Y
657163	B04768	AC8CP71	EU	EU_4768	M	I	G
657164	B04769	AC8CP72	EU	EU_4769	M	A	Y
657165	B04770	AC8CP73	EU	EU_4770	F	U	G
657166	B04771	AC8CP74	EU	EU_4771	F	U	G
657167	B04772	AC8CP75	EU	EU_4772	M	A	Y
657168	B04773	AC8CP76	EU	EU_4773	F	U	G
657169	B04774	AC8CP77	EU	EU_4774	F	U	G
657170	B04775	AC8CP78	EU	EU_4775	M	A	Y
657171	B04776	AC8CP79	EU	EU_4776	F	U	G
657172	B04777	AC8CP80	EU	EU_4777	F	U	G
657173	B04778	AC8CP81	EU	EU_4778	F	U	G
657174	B04779	AC8CP82	EU	EU_4779	F	U	G
657175	B04780	AC8CP83	EU	EU_4780	M	A	Y
657176	B04781	AC8CP84	EU	EU_4781	F	U	G
657177	B04782	AC8CP85	EU	EU_4782	M	A	Y
657178	B04783	AC8CP86	EU	EU_4783	M	A	W
